Type,Date,Time,Action,Errors,Ruleset ID,Ruleset Name,Rule ID,Rule Name,Destination List IDs,Destination Lists,Signature List ID,IPS Signature,IPS Signature Severity,IPS Signature CVE,Identities,Identity Types,Policy or Ruleset Identity,Policy or Ruleset Identity Type,Forwarding Method,Internal IP,External IP,Source IP,Destination IP,Source Port,Destination Port,Destination,Hostname,Categories,Integrations,Blocked Categories,Application,Application Category,Query Type,Content Type,Protocol,Filename,File Action (Remote Browser Isolation),Total Size in Bytes,Request Size,Response Size,Packet Size,Referrer,User Agent,Status Code,Direction,Threats,Threat Types,SHA256 Hash,Cisco AMP Result,Cisco AMP Disposition,Cisco AMP Score,Antivirus Result,Potentially Unwanted Applications,Other Antivirus Threats,Detected Response File Type,Isolated State,Data Loss Prevention State,Tenant Controls,Request Method,Umbrella Egress IP Address,Umbrella Egress Data Center
dns,2023-05-13,22:21:48,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,android.apis.google.com,,"Search Engines (Legacy), Infrastructure and Content Delivery Networks, Application, Search Engines and Portals",,,Google APIs,Application Development and Testing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:21:47,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,mtalk.google.com,,"Chat (Legacy), Instant Messaging (Legacy), Search Engines (Legacy), Infrastructure and Content Delivery Networks, Application, Chat and Instant Messaging",,,Google Hangouts,Collaboration,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:20:41,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,adservice.google.com,,"Search Engines (Legacy), Advertisements, Application",,,Google Ads,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:20:40,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,clients4.google.com,,"Search Engines (Legacy), Infrastructure and Content Delivery Networks, Application, Search Engines and Portals",,,Do Not Decrypt Application,Sample Application Group,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:20:39,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,cdn.ampproject.org,,"Software/Technology (Legacy), Computers and Internet",,,,,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:20:37,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,id.google.com,,"Search Engines (Legacy), Search Engines and Portals",,,,,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:20:37,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,play.google.com,,"Ecommerce/Shopping (Legacy), Movies (Legacy), Software/Technology (Legacy), Application, Computers and Internet",,,Google Play Store,Software Repository,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:20:36,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,optimizationguide-pa.googleapis.com,,"Search Engines (Legacy), Application, Search Engines and Portals",,,Google APIs,Application Development and Testing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:20:32,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,analytics.google.com,,"Search Engines (Legacy), Software/Technology (Legacy), Research/Reference (Legacy), Application, Search Engines and Portals",,,Google Analytics,Business Intelligence,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:20:32,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,www.google.co.in,,"Search Engines (Legacy), Search Engines and Portals",,,,,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
